Model,Min,Max,Median,Mean,10th percentile,90th percentile,Max density
ITD,0.0,0.9090909090909091,0.5358851674641149,0.45564094143480427,0.0,0.7939172749391727,0.6933867735470941
StarDist,0.0,0.8996539792387543,0.6355036171396773,0.531577615881957,0.0,0.8071428571428572,0.7094188376753506
UNet,0.0,0.89419795221843,0.6802325581395349,0.6309695975451289,0.38088296579418623,0.8319298245614035,0.7535070140280561
Inter,0.2909090909090909,0.8333333333333334,0.688,0.6503043558064701,0.44975024975024974,0.7894965178673364,0.7354709418837675
Intra,0.35702479338842974,0.918918918918919,0.773109243697479,0.7586118007091807,0.6323327628543791,0.8664986169358437,0.813627254509018
