Model,Min,Max,Median,Mean,10th percentile,90th percentile,Max density
ITD,0.0,0.8888888888888888,0.445600756859035,0.4105719319802411,0.0,0.7926377253109926,0.5390781563126252
StarDist,0.0,0.8919540229885058,0.4590909090909091,0.43744942084421073,0.0,0.7757952426690774,0.49098196392785565
UNet,0.0,0.9122807017543859,0.5581395348837209,0.5392340822112756,0.2676566966464478,0.8229912332740097,0.6012024048096192
Inter,0.2909090909090909,0.8333333333333334,0.688,0.6503043558064701,0.44975024975024974,0.7894965178673364,0.7354709418837675
Intra,0.42028985507246375,0.9108910891089109,0.7966706302021404,0.7672545373307226,0.6392635711384865,0.8655403593456691,0.8236472945891783
