,Area,Mean intensity,Duration,Aspect ratio,Solidity,Frame,Y,X,Video,Cluster
0,3464.0,0.3238410490933489,7.0,1.913352891264768,0.8749684263702955,34.53159131465818,408.9238831005691,62.842529502751205,96.1,0.0
1,653.0,0.2655596917678742,8.0,1.6056454006918865,0.705945945945946,35.6135476022435,431.1264753200147,57.126660843898975,96.1,0.0
2,1710.0,0.34543035224769825,9.0,1.9042144385468616,0.9009483667017913,39.296867451062994,232.47198564614104,303.1050122193836,96.1,1.0
3,1725.0,0.319740642026863,10.0,1.764865734769131,0.9021966527196653,39.52102172193943,238.47996724412283,283.6871121505786,96.1,1.0
4,736.0,0.5142102048510817,9.0,1.4709490214784258,0.8846153846153846,59.624892620565184,286.5983867032062,368.35367117965416,96.1,1.0
5,1556.0,0.7823581988806533,6.0,1.454465637831216,0.8850967007963595,59.404654783738344,409.6923451907891,319.5538909266901,96.1,2.0
6,3664.0,0.7651293635397897,9.0,1.4676519095571237,0.8780254013898874,103.93401839544055,409.89970342880054,319.8878119948963,96.1,1.0
7,766.0,0.40919087523594727,6.0,1.9139945227752737,0.8054679284963197,135.35334037392204,285.74233145714834,71.36456223964919,96.1,0.0
8,2531.0,0.7258950075449327,12.0,1.8121545436771211,0.8943462897526502,152.8721250626398,393.86950127130933,431.04605775431713,96.1,3.0
9,1753.0,0.6490943917170695,8.0,2.068879023465035,0.8379541108986616,185.17496949274022,393.43488904674194,430.3947070958153,96.1,0.0
10,2618.0,0.47633338986063023,8.0,2.0196227988303437,0.8552760535772623,190.41793216610134,239.15771207379242,287.44647805371125,96.1,0.0
11,2967.0,0.4895550712146336,7.0,1.997864344516985,0.8721340388007055,190.32810174282054,234.86824921979465,300.8459711622733,96.1,0.0
12,1498.0,0.7335798599109654,11.0,1.3170444979683291,0.9002403846153846,215.06292425810855,411.40061693596,319.63923373030036,96.1,1.0
13,6572.0,0.640956281384073,11.0,1.7355553415952218,0.9000273897562312,267.33456058032215,336.5879569285651,415.78006161225403,96.1,3.0
14,1515.0,0.2852017470473108,8.0,1.941278856178674,0.8975118483412322,333.87082621274305,408.4612962838368,62.32251564287156,96.1,1.0
15,9300.0,1.0,10.0,1.787735007288138,0.8319169872081581,343.02932326551087,329.32191252658635,409.946858641242,96.1,3.0
