,area,aspect ratio,extent,mean intensity,max intensity,min intensity,orientation,perimeter,solidity,model
35,36.0,1.9470699773048623,0.6666666666666666,0.3865735065784098,1.0,0.15444962000490317,-1.2270122133024461,21.899494936611667,0.9,UNet_1-0
36,112.0,1.3459180112030573,0.7272727272727273,0.26612882525739384,1.0,0.05857456578159313,1.2314092554442209,38.384776310850235,0.9333333333333333,UNet_1-0
37,73.0,1.1670723726300385,0.8111111111111111,0.33967842005037163,0.8018497757847534,0.1412556053811659,0.19710684849711577,29.31370849898476,0.948051948051948,UNet_1-0
38,1349.0,1.105299193343073,0.5574380165289257,0.39647579590981935,1.0,0.035349957495041086,1.529756955717994,190.16652224137047,0.832716049382716,UNet_1-0
39,300.0,1.6722254519681985,0.6,0.5963936574498755,0.9719564932512121,0.1923732145197222,-0.9015580029687693,73.1126983722081,0.8955223880597015,UNet_1-0
40,1548.0,1.3459573663786382,0.6206896551724138,0.25219967555390216,1.0,0.043035964149302275,-0.3034456711934218,194.40916292848974,0.8815489749430524,UNet_1-0
41,13.0,2.5808240716166715,0.7222222222222222,0.03448346079666278,0.048443822561736564,0.022955035359074234,-0.16301506442030414,12.863961030678926,0.8125,UNet_1-0
42,9.0,2.081665999466133,0.5625,0.037073453592002925,0.049502703929206214,0.02828725938811784,-0.7853981633974483,6.242640687119286,1.0,UNet_1-0
43,1538.0,1.2472637552941126,0.6031372549019608,0.22276611996573634,1.0,0.03474628082331364,0.781033967741639,166.8528137423857,0.9298669891172914,UNet_1-0
44,3133.0,1.5339458840104547,0.672029172029172,0.15684156682143013,1.0,0.011879751900760304,-0.6505456867397295,251.75840533340727,0.9013233601841196,UNet_1-0
45,816.0,2.794814833605406,0.5021538461538462,0.3298779623276527,1.0,0.0687529634898056,-0.13845431615084489,224.95331880577402,0.7331536388140162,UNet_1-0
46,155.0,2.606108150663315,0.4341736694677871,0.6136318415081916,0.9001553139560683,0.28644331040603505,0.6141406712306113,69.5269119345812,0.7673267326732673,UNet_1-0
47,116.0,1.479546259141165,0.6444444444444445,0.6174197384066588,0.8889730958696476,0.3774156877605154,1.087268933882396,40.87005768508881,0.9133858267716536,UNet_1-0
48,82.0,1.977193779233137,0.6833333333333333,0.4988012569870238,1.0,0.19622362088115514,-1.4639423013986634,35.9350288425444,0.9111111111111111,UNet_1-0
49,18.0,3.5705072436424614,0.42857142857142855,0.7741390038687337,1.0,0.6130995860725591,0.7882462338600196,10.449747468305834,0.9,UNet_1-0
50,93.0,1.9325087578702973,0.5961538461538461,0.49079837785200986,0.7753152464654184,0.25105082155139474,-0.7981184094237129,38.62741699796952,0.9029126213592233,UNet_1-0
51,374.0,1.4351146517362898,0.6022544283413849,0.5291533274909234,0.988628762541806,0.15719063545150502,-0.985118202016391,82.32590180780453,0.9121951219512195,UNet_1-0
52,459.0,1.520732847625003,0.7050691244239631,0.42118096355084084,1.0,0.07700033478406428,-1.4895201167449068,85.59797974644667,0.9272727272727272,UNet_1-0
53,11.0,1.4168976552472359,0.9166666666666666,0.25187064591038105,0.3216650898770104,0.2097130242825607,1.307763117296515,9.414213562373096,1.0,UNet_1-0
54,860.0,1.7971659809385365,0.6485671191553545,0.4472508855690744,1.0,0.15925575528224534,0.7327773314975522,126.22539674441617,0.9227467811158798,UNet_1-0
55,15.0,1.1470786693528088,0.9375,0.1468096289288342,0.22437716808577735,0.10816777041942605,0.7853981633974486,11.414213562373096,1.0,UNet_1-0
56,254.0,1.3210817615240147,0.7839506172839507,0.1598845426525562,0.300697510718628,0.06898317015422026,0.6609682563096958,58.62741699796952,0.9584905660377359,UNet_1-0
57,685.0,2.6642313546914695,0.6078083407275954,0.3236726243833428,1.0,0.07685881370091896,-1.2546646784014235,123.74011537017762,0.9145527369826435,UNet_1-0
